"","hm_list_v"
"1",1.84660794889014
"2",1.7966303229921
"3",1.79573461857563
"4",1.87925730294091
"5",1.95591410313923
"6",1.88089216531972
"7",1.88457049051734
"8",1.81547035217667
"9",1.7445206449792
"10",1.86684751032544
"11",1.7541884765905
"12",1.82462352238988
"13",1.91534590537616
"14",1.63682347355432
"15",1.88380261716852
"16",1.81355078722259
"17",1.87709485477942
"18",2.09812652546466
"19",1.8746406384594
"20",1.81926484805649
"21",1.92156098186066
"22",2.00411501755136
"23",1.69680614691647
"24",2.09230592897369
"25",1.76396853226522
"26",1.91721663111912
"27",1.72182543023813
"28",1.87452702372182
"29",1.78420294812049
"30",1.94981016727709
"31",1.95936387496744
"32",1.76052047448217
"33",2.04432940047987
"34",2.0363190048783
"35",1.88282900559789
"36",1.7994057904793
"37",1.86186758421138
"38",1.94620952141153
"39",1.85429309059008
"40",1.94111898737557
"41",1.92725771073837
"42",1.95122074523839
"43",1.85826051273514
"44",2.03764727883817
"45",1.79782586741603
"46",2.13565412350236
"47",1.95420818460497
"48",2.10212329813129
"49",2.13061380616496
"50",1.82020450446112
"51",1.95900406021675
"52",2.03424390988881
"53",1.80836883927249
"54",1.85798665413677
"55",2.08194420926519
"56",2.13337873132862
"57",2.01464184749248
"58",2.14705498609078
"59",2.07279871312393
"60",1.88583402654431
"61",1.86166390726456
"62",1.78891646849511
"63",1.72662130367395
"64",1.98968409767115
"65",1.85884087625886
"66",2.03186127374897
"67",1.89384610259301
"68",1.83920918225763
"69",2.1478795735796
"70",1.86518776744796
"71",2.04332961195008
"72",1.91776457100826
"73",1.89357671466301
"74",2.02710049395158
"75",1.95861463484376
"76",2.03720850758439
"77",1.87989319476733
"78",1.83878451725564
"79",1.96985687344286
"80",1.86599438621994
"81",1.82579523408313
"82",1.82326580311734
"83",1.9125381273581
"84",1.96448145025648
"85",2.03959420818161
"86",1.90640587479383
"87",2.0263939283383
"88",1.84727440777949
"89",1.7396154241422
"90",1.94969591364215
"91",1.76823447250142
"92",1.81659637337036
"93",1.82699115515131
"94",1.94379991550753
"95",1.79085556683313
"96",2.10473865274481
"97",1.98572141570484
"98",1.88557209660692
"99",1.78202745813015
