"usage","pay_q","door_q"
1.78905626780627,1,1
2.21149216524217,1,1
1.93253917378919,2,2
1.52430911680911,2,2
2.24818732193731,3,3
2.44531339031339,4,4
2.48112535612536,3,3
2.30041666666667,3,3
